,word,slice_1800,slice_1840,slice_1880,slice_1920,slice_1960,slice_2000
0,irritation,103,429,689,892,723,180
1,replenish,99,316,255,340,223,100
2,relinquish,469,780,494,462,410,96
3,defiance,531,1274,1141,930,657,152
4,breathe,1811,4069,4247,4168,5203,2112
5,archery,33,55,73,54,103,33
6,induction,67,324,340,427,297,45
7,thoughtfulness,51,183,188,99,71,27
8,preside,377,1418,1199,1244,997,196
9,surgical,55,131,325,436,811,286
10,heaven,8450,16852,10530,5376,4024,1372
11,moth,94,475,1169,616,734,261
12,abomination,91,237,185,111,132,41
13,applicant,108,299,551,795,840,209
14,round,5594,18691,17864,17001,12991,4002
15,sisterhood,40,131,184,35,80,50
16,estimate,1506,3550,4313,9256,8573,1804
17,second,4509,14930,22664,31996,36928,12449
18,criminal,1012,2284,3591,3750,4782,1363
19,semi,133,746,1733,1997,1127,316
20,accommodate,352,763,701,802,1344,426
21,beneath,2959,8434,6835,5808,6932,2820
22,sane,37,344,780,789,650,153
23,ottoman,37,172,193,220,246,149
24,culture,506,3026,3663,5777,7551,2815
25,wrench,96,354,619,920,964,342
26,lung,188,1035,1225,1725,2460,878
27,juice,329,866,779,1613,2660,1444
28,width,229,604,918,963,659,338
29,schooling,28,87,237,302,363,112
30,utensil,85,362,358,342,285,73
31,look,20633,85701,124616,155388,162384,53467
32,hero,1730,4044,5197,3832,4314,1547
33,perfume,243,1128,1107,1073,1195,408
34,quarter,2958,7894,8791,10660,8828,2490
35,rabbit,80,544,3743,2336,2186,610
36,guilty,1491,3720,3410,3579,3954,864
37,restoration,384,1043,970,1010,927,200
38,hum,309,1112,1377,1665,1920,584
39,dessert,54,259,209,462,880,507
40,quart,201,868,509,754,513,231
41,desire,4848,14898,17164,12192,8294,2179
42,disgusting,162,359,252,341,584,178
43,reproduce,51,567,1063,842,847,188
44,ripple,177,836,1157,959,1224,462
45,desolate,684,1598,1140,619,474,119
46,reckon,518,2339,4782,4011,1421,290
47,batter,127,458,999,1613,1736,699
48,repayment,35,54,57,245,218,123
49,hospital,411,1975,4381,9599,13922,3506
50,range,1005,3752,6288,9421,11313,3368
51,dirt,113,662,1199,2125,3490,1563
52,debtor,395,488,278,581,225,93
53,rider,358,1027,1710,2017,1700,591
54,filth,63,226,280,338,353,74
55,rogue,339,574,473,254,300,271
56,flute,183,445,595,546,730,255
57,conservative,62,889,1994,3575,6315,1292
58,white,5202,24902,34833,43497,55051,15354
59,reflection,2088,3432,2681,2108,2171,833
60,roll,2328,7152,8541,11487,13174,4901
61,procedure,114,380,1124,3817,4527,1115
62,near,6851,22391,28780,26058,22780,6750
63,impostor,126,390,295,154,75,28
64,leper,31,79,180,120,167,48
65,hopeful,115,944,1219,1283,1167,339
66,circle,1738,5719,6633,7988,8450,2586
67,turkey,292,1408,1897,2725,2650,734
68,investment,135,771,1510,4786,6670,1741
69,clump,104,440,677,916,798,260
70,dwarf,222,704,776,563,1053,387
71,pleasantry,104,168,203,119,123,49
72,striped,33,171,180,367,553,152
73,pillow,505,1963,2137,2394,2354,945
74,welfare,904,1922,1985,3254,4865,390
75,untimely,194,332,232,127,105,40
76,nomination,180,992,2114,2786,2301,375
77,investigation,767,2470,4058,6473,5486,1368
78,auspicious,136,209,119,99,111,28
79,lug,66,136,234,408,415,151
80,liquidate,37,88,88,539,236,40
81,somebody,433,2572,4410,8145,8550,2262
82,damsel,323,659,317,83,80,34
83,league,804,1718,3490,8493,6131,2408
84,enclose,439,955,921,1133,1136,258
85,aboriginal,95,217,247,152,179,45
86,recorder,42,132,198,252,1034,252
87,inseparable,172,440,353,266,235,74
88,surf,55,383,458,624,771,488
89,heinous,58,121,97,76,70,38
90,gigantic,309,1289,1187,1354,827,204
91,fertilize,44,137,212,169,269,79
92,conspicuous,604,1447,1903,1108,636,106
93,mutiny,136,266,291,374,257,42
94,charter,1208,1520,1911,2121,1524,267
95,rural,331,1024,1873,1859,2497,911
96,envy,612,1384,1635,1361,1537,412
97,mushroom,86,176,278,483,1250,464
98,lobby,58,278,528,2273,3324,928
99,physiology,152,351,347,296,428,65
100,process,1262,5436,7878,11669,15730,4450
101,almond,87,219,202,277,376,243
102,curdle,66,152,118,127,109,37
103,preamble,135,183,184,191,137,29
104,imprint,114,223,241,282,457,188
105,amazing,138,393,1016,1761,1821,926
106,rivet,148,365,342,318,444,147
107,chart,172,333,600,1826,2598,875
108,nourishment,167,484,357,268,221,50
109,separate,2295,6454,6569,7024,8707,2244
110,forgetfulness,188,409,343,159,139,29
111,fevered,33,178,152,74,93,30
112,advantage,3918,8744,8914,7230,6086,1614
113,postage,37,328,295,278,212,43
114,unsuccessful,227,519,515,683,609,108
115,glitter,876,2496,1828,1628,1484,476
116,overhang,200,596,522,430,358,111
117,sucker,31,151,212,579,488,175
118,geography,324,557,665,718,691,325
119,drunkenness,99,314,314,310,222,35
120,relic,270,894,879,562,508,168
121,chili,40,140,146,143,364,311
122,enigma,38,195,152,191,238,68
123,continue,6744,17229,19451,26878,29141,9037
124,warning,520,1885,3089,3906,3886,1176
125,inhabit,491,1185,978,780,908,304
126,brief,1492,4536,5219,5533,5416,1485
127,dishonest,102,374,526,443,264,64
128,fiddle,116,483,705,842,812,276
129,swarm,241,1895,1265,1712,1267,359
130,female,2224,3663,2853,3109,6372,2732
131,conceive,1750,3608,2836,2289,1966,390
132,tall,1200,4974,6668,8165,8800,3766
133,soak,117,455,793,1361,1960,806
134,diamond,368,1753,3169,2503,2279,944
135,adoration,127,362,474,282,203,56
136,tour,660,971,1492,3378,5339,2479
137,improvement,2344,4408,3602,4275,3421,852
138,straggler,51,173,182,153,117,49
139,jingle,48,446,384,384,334,111
140,unreasonable,307,805,887,691,484,105
141,giver,88,330,369,193,201,44
142,loneliness,175,626,1059,1236,994,235
143,unveil,111,177,157,201,411,158
144,basis,776,2739,4679,10932,8187,1399
145,picket,89,675,923,1319,940,175
146,enforce,771,1952,2656,2363,1746,357
147,raisin,114,221,272,319,415,166
148,responsible,420,1955,3660,5694,5436,1309
149,throat,781,2450,4497,6081,6197,2268
150,halo,52,263,293,270,305,187
151,generalization,27,248,363,358,385,39
152,glue,39,146,396,532,1318,509
153,cruiser,46,219,805,1666,474,410
154,overwhelm,209,545,521,442,615,220
155,interchange,235,463,357,300,249,47
156,term,3945,9953,11871,17379,20036,4915
157,handwriting,66,466,593,502,489,132
158,defer,315,722,640,727,696,166
159,gate,1666,5199,7425,6355,5498,1839
160,caricature,126,347,322,339,344,86
161,resume,1277,3898,3284,3201,2654,636
162,profane,332,685,412,262,197,62
163,caution,847,1523,1562,1554,1814,463
164,wooded,43,227,289,300,222,66
165,bask,81,288,210,221,279,118
166,filament,35,110,187,454,241,72
167,carnation,28,112,152,210,229,35
168,vigorous,627,2280,2367,1826,1236,218
169,brush,516,2225,3851,5377,5659,2108
170,weariness,194,707,846,713,405,75
171,clerical,73,453,513,487,399,90
172,exit,1895,3262,4314,4787,3715,1330
173,detach,201,538,605,588,512,106
174,close,5279,20047,30353,45150,42441,13872
175,deceitful,135,273,133,72,92,26
176,horseback,348,852,816,755,534,181
177,instead,2833,9488,11739,15236,17225,6477
178,breast,2365,6185,5009,3708,5840,2142
179,theological,181,1228,991,460,790,243
180,brother,6783,18959,17594,17286,17500,6591
181,wail,245,1069,1424,1534,1278,404
182,destruction,1469,2946,2857,2611,2382,704
183,academic,96,195,964,1281,3205,1368
184,perverse,124,349,252,248,484,99
185,navigate,80,181,193,214,382,305
186,dead,4261,15211,18628,19336,20946,7145
187,prostitute,63,104,185,439,762,214
188,temporal,247,565,340,364,394,121
189,dutiful,107,247,156,132,211,61
190,zest,33,176,245,211,144,92
191,careful,821,3551,5599,5312,4959,1429
192,spruce,86,356,594,717,529,128
193,breaker,101,390,764,683,399,110
194,pain,2446,7925,8107,6893,10635,3796
195,mediation,64,155,220,460,328,56
196,momentous,254,516,565,423,250,71
197,commerce,1711,3314,4277,5179,2482,570
198,cafe,26,124,561,1189,1674,510
199,latent,152,492,499,356,288,54
200,serf,60,400,216,236,252,90
201,negotiation,438,951,1289,3722,4209,450
202,presume,1142,2407,1832,1102,1021,264
203,consist,2174,5289,5158,4709,3802,844
204,hump,32,168,275,458,661,139
205,misunderstand,66,197,338,289,217,47
206,dumb,450,1402,1587,1434,2045,589
207,casualty,53,158,295,1067,1112,407
208,friend,15965,41014,42169,34009,35079,12504
209,affirm,525,1510,1179,709,705,166
210,meteor,193,330,174,261,338,144
211,approach,5225,11330,10224,10660,14780,4908
212,demolish,126,317,300,382,400,98
213,pauper,91,713,604,214,95,29
214,available,114,879,2122,7322,10118,3027
215,examination,1329,3470,4075,3740,2588,453
216,pollution,84,146,54,148,2286,598
217,tree,6083,21298,21849,19435,19192,6535
218,slack,48,292,397,1015,1474,546
219,abhor,161,423,332,197,181,42
220,amputation,29,66,69,91,76,29
221,conflicting,95,272,228,279,266,35
222,justification,199,586,883,888,905,169
223,center,112,903,3528,11666,22016,8410
224,mall,32,100,231,286,1249,772
225,embargo,62,109,231,718,674,117
226,sin,2221,7225,5557,3039,2958,853
227,gap,85,538,1217,1846,2951,1154
228,axle,32,119,244,241,294,66
229,resemblance,637,1503,1298,997,728,225
230,weave,346,1120,1583,2078,1511,661
231,generosity,434,971,855,640,596,171
232,crush,751,3039,3361,2675,2729,1149
233,solace,216,572,397,312,288,113
234,dear,8129,23266,26090,13455,7919,1883
235,wild,4153,13289,12717,9499,8267,2461
236,whim,185,577,739,529,495,148
237,witty,111,426,387,454,568,175
238,integral,37,132,203,424,479,147
239,testy,156,41,69,56,94,42
240,jealous,560,1623,1755,1572,1232,338
241,priority,27,66,121,862,2397,718
242,employer,218,1011,2733,3820,2544,730
243,knead,40,89,100,83,239,115
244,immutable,122,233,118,135,153,27
245,awkwardness,70,245,260,150,159,59
246,disappear,1002,4221,6373,6222,7119,2261
247,amusing,283,944,1414,1295,782,172
248,methodical,58,162,166,178,179,57
249,affliction,583,832,390,271,297,58
250,shank,29,88,106,166,285,56
251,paste,260,460,619,796,902,314
252,meddle,161,583,496,277,234,45
253,cannibal,31,214,207,185,247,44
254,vex,249,851,562,231,157,42
255,neighboring,333,1243,918,647,529,184
256,lessen,401,1090,1079,955,643,140
257,appointment,782,2194,3201,3529,3159,680
258,ruler,615,1603,1626,1616,1701,279
259,applicable,367,678,466,568,478,71
260,astrologer,212,99,105,139,118,36
261,curb,122,372,712,2031,1960,587
262,premise,317,1105,1024,978,1274,280
263,circumference,220,425,224,182,181,45
264,timid,481,1353,1234,832,501,101
265,topic,1054,2056,1769,1378,1806,866
266,vigilant,195,384,284,222,172,94
267,deference,265,784,630,388,368,99
268,beat,1986,6451,9115,11321,13282,5099
269,wallop,38,34,97,183,130,31
270,plastic,26,271,296,1093,5004,2349
271,receptacle,79,286,311,152,132,39
272,devotee,96,266,307,204,212,71
273,hourly,172,355,258,432,299,65
274,demoralize,40,298,442,272,166,32
275,perceive,3504,5185,3438,1578,2366,770
276,intrusion,189,430,476,376,540,116
277,traffic,285,738,2444,5786,6088,1870
278,ledge,171,742,1060,1317,939,226
279,rank,2599,6217,5976,5549,5767,1725
280,bee,462,3523,1968,2185,1397,472
281,bury,1428,4461,4762,4477,4525,1533
282,disapprove,116,305,444,708,571,121
283,local,807,2547,6414,11886,16551,5599
284,pool,160,1047,2314,3938,5797,2153
285,complement,32,142,220,343,541,273
286,ingenuity,488,1034,804,611,450,101
287,dare,3374,8232,9225,5903,4262,1087
288,deceptive,81,167,159,275,305,62
289,composite,35,97,238,339,456,171
290,accommodation,485,856,769,656,923,261
291,sleigh,83,597,759,370,191,45
292,attendant,884,1735,1714,1338,1738,437
293,customer,188,1068,1869,4937,6892,2239
294,idle,1075,2726,2489,2111,1239,360
295,valor,197,717,428,262,163,43
296,lose,6769,21778,26556,28358,32201,10611
297,ease,1077,2974,3950,4548,5044,1486
298,precedence,95,293,272,221,223,53
299,badly,219,1192,2747,3726,3385,782
300,deserving,100,223,195,120,104,48
301,producer,69,625,880,3956,4164,1083
302,send,6967,24243,35252,31847,25134,7511
303,sicken,143,423,478,481,402,124
304,unaccustomed,96,346,446,304,259,42
305,spelling,100,330,713,323,344,138
306,umpire,52,134,176,340,364,122
307,comical,67,309,331,258,236,82
308,announcement,116,1007,1755,3520,2366,385
309,fish,1060,4896,6602,8684,10940,3435
310,kindness,1577,3629,2702,1336,895,279
311,whirlpool,48,197,191,181,206,68
312,wallet,59,175,341,751,1256,546
313,scissor,43,270,303,430,599,176
314,outpouring,50,115,120,154,181,42
315,confidence,3017,6677,6863,5944,4463,1176
316,equity,213,444,401,625,1064,397
317,persevere,408,678,223,110,135,59
318,dispel,220,599,490,438,375,90
319,invitation,478,1916,2549,2835,2319,569
320,determine,3261,8417,8480,8811,8538,2262
321,murder,1779,4665,5108,7818,8287,2265
322,bliss,563,1411,974,708,503,363
323,compression,38,109,111,194,301,96
324,establish,3650,9236,9155,11435,10577,2143
325,collegiate,83,257,189,215,237,101
326,arcade,27,100,184,204,294,82
327,bog,128,258,327,365,371,115
328,desirable,656,2170,2209,2350,1310,206
329,commentary,227,426,348,370,802,217
330,middle,1578,5380,8386,13054,17114,5590
331,ticket,151,1509,2874,4137,5095,1568
332,starboard,65,265,327,450,304,98
333,revive,738,1590,1545,1682,1429,276
334,parsley,80,207,72,51,341,254
335,treasurer,195,514,841,869,619,61
336,beast,967,2689,3401,2845,2327,986
337,accountable,99,231,183,120,335,148
338,privacy,99,331,493,800,1684,658
339,dependency,68,184,232,188,422,47
340,forego,314,768,635,485,163,30
341,gait,128,433,627,433,345,102
342,longitude,112,242,267,109,134,69
343,mausoleum,31,88,85,99,171,39
344,smooth,891,3658,3864,4652,4659,2001
345,gentleness,278,691,652,389,264,28
346,cottage,1016,2907,2935,2058,1656,637
347,scorn,1209,2602,2339,1309,858,154
348,gratuitous,107,292,146,151,136,31
349,overcast,48,244,120,208,255,72
350,whiz,64,143,264,284,339,170
351,strut,119,184,279,382,542,175
352,fairness,78,279,413,482,681,144
353,baptism,90,1144,426,184,208,92
354,avenge,428,881,570,308,369,85
355,malice,434,770,675,504,487,66
356,city,7023,22427,38504,49525,50856,13434
357,tedious,409,790,537,452,455,127
358,tyranny,522,1225,909,796,606,101
359,compartment,35,224,556,1090,1255,296
360,convincing,81,264,636,693,730,181
361,devious,48,134,174,254,256,60
362,oblique,102,171,182,199,313,61
363,apparition,280,536,437,235,276,66
364,inexperienced,120,316,327,279,252,80
365,trouser,27,441,1149,1966,1673,382
366,prosecutor,53,201,195,1156,2014,567
367,home,6709,34999,50318,54864,57200,20767
368,payable,137,370,242,400,105,45
369,carve,249,1151,1435,1759,2379,870
370,girdle,163,502,460,373,263,37
371,starry,140,488,361,230,215,79
372,pristine,40,85,55,60,314,197
373,manly,674,2150,1421,398,326,114
374,pen,1179,3492,3394,3433,3454,1084
375,catechism,89,301,250,126,165,41
376,company,4171,12887,24747,33535,37433,12060
377,implacable,139,175,241,254,243,60
378,reprint,95,224,380,321,407,92
379,virtuous,696,1188,563,367,277,55
380,inventor,343,711,757,991,469,202
381,exasperation,63,125,187,355,383,102
382,military,2289,6510,7783,15119,18804,4135
383,information,2053,4359,6435,9424,15136,5498
384,cooperate,48,132,357,1459,1374,307
385,know,33873,119148,184802,201199,211399,62856
386,sail,1750,6377,6897,5237,3725,864
387,ceaseless,122,470,448,262,169,31
388,permission,592,1500,2044,2156,2293,660
389,pedestrian,78,209,265,673,678,250
390,unbridled,43,83,94,86,118,36
391,rhyme,189,708,725,577,472,281
392,honey,326,1873,1843,3098,3756,1252
393,cringe,36,143,217,278,362,183
394,prevalence,149,323,233,159,238,78
395,span,145,481,681,1197,1505,551
396,partition,143,518,571,795,634,158
397,flake,76,367,396,397,590,342
398,ion,65,265,608,1005,635,134
399,alluring,26,74,196,126,75,45
400,constant,1319,4106,4149,3955,3824,1266
401,dome,330,810,912,1548,1469,493
402,individuality,85,601,869,566,336,59
403,nuptial,152,316,128,93,90,45
404,automaton,29,139,95,147,75,28
405,advanced,677,1905,2046,1976,2414,742
406,deign,161,317,271,116,106,31
407,adventurous,221,458,414,365,322,98
408,poultry,93,351,392,523,679,195
409,true,9831,27881,27513,21301,19858,5514
410,clang,56,314,418,532,432,134
411,word,13609,46459,53206,48180,43033,12702
412,labor,3632,16122,14360,23519,12412,1863
413,accrue,97,299,314,332,225,62
414,elevate,656,1702,873,503,623,215
415,cruise,141,511,696,1109,1867,890
416,pursuit,2135,4260,2838,1789,1836,603
417,undo,184,542,617,574,839,260
418,instruction,2432,4927,4831,3793,3672,1248
419,cower,88,279,336,254,240,86
420,limited,694,1742,2000,2841,3601,836
421,unnerve,27,56,71,84,211,80
422,messenger,757,1686,1971,1347,938,330
423,grim,229,1348,2047,2382,1880,484
424,devise,558,1453,1541,1726,1530,265
425,auction,95,285,374,549,999,452
426,considerate,140,490,514,346,194,49
427,impurity,68,162,153,177,130,26
428,whistle,438,1675,3100,3748,2510,723
429,attachment,1029,1396,700,612,695,162
430,seller,70,234,795,1212,1293,387
431,independent,1442,3685,4081,5095,5622,1350
432,luminous,152,599,609,599,585,181
433,chuckle,96,601,1701,2325,1981,666
434,regimental,69,148,257,202,133,28
435,reminiscence,100,588,694,359,206,41
436,veiled,35,225,277,204,141,32
437,pitiless,50,323,356,154,110,27
438,undue,174,502,528,531,264,46
439,nightly,172,458,314,349,489,206
440,tangent,55,43,92,188,84,33
441,tragic,107,464,1231,1791,1386,335
442,novelist,128,474,1050,1491,1123,242
443,foul,530,1326,1116,1110,1431,452
444,homage,402,959,533,347,323,131
445,infancy,628,1078,633,399,333,102
446,batch,28,91,254,552,561,218
447,glass,1604,6574,9445,16536,18867,6320
448,cautious,431,912,909,1090,1246,278
449,breeding,152,630,718,999,911,206
450,chatter,125,554,1160,1404,1284,412
451,coup,51,198,219,522,1536,237
452,disagree,56,217,404,957,1500,421
453,ominous,181,567,694,877,821,191
454,unite,1596,3642,2412,1592,1084,200
455,noun,39,103,243,451,385,76
456,channel,741,2430,2456,3193,3877,1412
457,timely,166,423,365,324,385,115
458,glove,188,1317,1890,2386,2355,1076
459,drought,72,242,332,947,838,279
460,disposition,1944,3540,2715,1410,814,147
461,pillar,404,1088,1058,921,932,241
462,friendship,1607,3279,3640,3097,2448,689
463,review,1050,2372,2833,3819,6345,1914
464,wife,5424,20393,25927,27710,27008,7449
465,fix,3236,8832,9967,10166,7751,2377
466,manner,9534,21809,18901,11098,7073,1456
467,instinct,694,3049,4300,2890,1896,604
468,planter,479,771,643,576,297,129
469,oblivion,325,540,435,338,338,103
470,princess,449,1518,4321,2477,2215,921
471,concealment,397,690,494,231,167,27
472,supremacy,216,783,887,604,334,66
473,plump,94,458,726,1253,951,293
474,reliance,235,764,613,458,664,160
475,snail,54,113,200,387,330,79
476,conscience,1823,4939,3829,2449,1871,360
477,shutter,104,500,623,811,717,259
478,lighthouse,28,138,273,319,218,115
479,attribute,1256,2813,2283,2148,2237,584
480,admission,579,1709,1707,1839,1987,567
481,appliance,48,380,457,399,668,236
482,penance,114,331,264,163,203,83
483,reinforce,74,260,648,925,1453,449
484,dramatic,284,1055,2273,2708,3054,862
485,superintendent,91,842,1972,1845,1159,153
486,longevity,32,126,82,152,268,119
487,kill,2174,8143,13555,19719,24820,7748
488,guileless,62,183,160,83,62,32
489,jolt,28,146,316,726,793,314
490,parcel,185,750,1083,932,667,166
491,parental,252,472,276,440,603,273
492,smart,313,1453,1955,3921,4323,2085
493,roughness,50,176,148,142,83,28
494,affect,2302,5120,5574,6370,6557,1916
495,inaudible,54,178,150,170,156,37
496,squeeze,157,486,896,1897,3536,1504
497,promotion,276,694,1018,1228,1610,408
498,startle,487,1837,1924,1485,1316,457
499,execute,1516,2789,1993,1546,1449,502
500,eventual,54,102,130,531,691,141
501,snake,360,1142,1923,3015,3339,1007
502,fit,2727,8430,9426,8535,8516,3205
503,dissent,165,531,538,692,992,150
504,vibration,68,413,523,805,733,205
505,prevention,77,249,365,591,836,420
506,hasty,643,1326,1332,793,426,92
507,adapt,925,2172,1904,1555,1520,563
508,pastime,152,357,370,365,295,102
509,include,1196,4172,8135,20150,32943,12249
510,deed,1816,4274,3547,1554,1283,333
511,explorer,26,213,645,658,689,357
512,incidental,124,455,519,519,255,44
513,astonishment,869,2074,2110,1285,850,147
514,doorway,60,686,2820,4267,3540,1149
515,darken,451,1537,1389,1335,1537,530
516,tinge,288,765,646,503,427,183
517,perspiration,62,386,461,520,434,106
518,thump,66,321,583,937,994,422
519,lure,188,496,855,1099,1511,515
520,consolation,830,1407,982,525,486,116
521,stock,1578,6559,8673,16813,12228,3510
522,flank,251,1266,1500,1617,1330,419
523,random,129,432,421,723,1811,643
524,glade,115,384,340,345,212,52
525,deception,324,686,498,444,592,177
526,equipment,127,371,1371,6482,7183,1593
527,antique,195,767,665,848,1806,724
528,indifferent,599,1598,1935,1320,885,152
529,conversation,2836,7285,7033,6692,7681,2511
530,rainbow,214,655,735,691,854,330
531,ashamed,672,2072,2646,2513,1800,330
532,shelf,211,1182,2051,2572,2898,1145
533,throbbing,108,342,329,324,221,78
534,slimy,46,142,156,234,279,90
535,railway,45,1484,6771,3809,1760,117
536,woman,9706,38751,70345,66873,72966,25138
537,jig,44,118,191,249,320,108
538,prologue,44,72,142,116,113,151
539,seemingly,297,913,1091,1265,1667,597
540,straighten,32,324,1504,2709,2337,723
541,notorious,215,611,634,659,685,298
542,harem,30,249,175,218,245,55
543,share,2370,7522,9504,14000,17264,5718
544,develop,582,3838,8075,13778,15963,4588
545,ferret,43,145,168,227,228,105
546,silky,26,189,184,290,305,166
547,precarious,134,302,342,486,408,97
548,wasp,30,109,125,172,288,82
549,crystal,212,1013,1342,1874,1852,847
550,diet,191,801,1047,2257,3484,1429
551,inconsistent,424,830,480,397,390,106
552,claw,75,331,591,906,1215,517
553,feather,631,2027,2616,2684,2374,716
554,intelligence,1782,4505,4008,3546,5492,2282
555,shadow,2431,8415,9473,8549,8261,3123
556,indulgent,173,402,289,253,252,86
557,inmate,376,1086,718,464,1259,509
558,inordinate,85,159,144,102,129,39
559,secretary,1051,4258,7914,18018,12581,1640
560,patch,247,1097,1955,2895,3193,1004
561,fabricate,63,122,50,200,249,90
562,incapable,486,1290,1049,831,749,154
563,wafer,33,92,69,77,186,80
564,frenzied,35,134,209,257,231,42
565,consort,83,241,269,244,240,67
566,shopkeeper,56,166,230,328,326,64
567,crab,98,341,704,598,917,478
568,afternoon,810,5379,12610,14593,11984,3167
569,excited,574,2404,2898,2942,2160,716
570,privy,95,279,150,355,336,72
571,bleach,54,203,219,400,547,212
572,ready,3732,13914,18181,16997,14301,4676
573,pity,1788,5308,5383,3495,2455,556
574,naked,818,1688,1458,2521,3917,1209
575,use,6524,20168,27951,35173,40500,12589
576,competence,69,160,201,467,739,133
577,biography,296,780,862,817,1094,327
578,accident,1189,3019,4265,4639,5179,1702
579,peculiar,2698,7329,5550,3003,2035,357
580,advocate,940,2321,2636,2848,2954,842
581,guardianship,93,316,177,100,49,29
582,vice,1600,3163,3276,6028,7342,1487
583,expend,411,1334,1025,611,377,71
584,humid,48,130,101,229,365,140
585,muddy,105,505,707,1030,1007,432
586,insect,503,2154,1422,1480,1821,835
587,donkey,42,341,460,683,654,253
588,betray,1579,3325,3070,2018,1859,489
589,heathen,484,1489,883,386,265,49
590,mountain,3642,11230,13884,11319,11103,3912
591,schedule,29,109,913,4921,7061,1974
592,theoretical,107,307,496,815,1292,269
593,enforcement,70,281,665,1738,2123,642
594,hive,193,1923,334,491,293,114
595,shot,863,3039,4712,19608,11269,2870
596,depth,1281,4363,4263,3240,3142,1022
597,slash,26,152,284,947,1370,423
598,scoff,120,268,394,369,372,135
599,transcendent,70,199,220,107,216,46
600,influence,6339,17003,15466,10719,8826,2096
601,enlarge,659,1559,1462,1328,980,145
602,undeniable,82,273,292,163,220,79
603,treatment,562,2445,4167,4888,6495,2420
604,medium,849,2170,2042,4732,6786,3834
605,swear,1800,3838,4292,4001,3477,1233
606,infuriate,35,78,98,285,429,86
607,advice,1199,3247,4359,4328,4258,1494
608,conventional,106,540,1199,1407,2528,672
609,embellish,161,288,141,133,224,75
610,yield,2579,6515,5683,4442,4055,845
611,regulator,38,67,69,182,576,248
612,comedy,153,480,1098,1609,1968,694
613,forest,2670,8399,7528,6626,7066,2516
614,immortal,780,1909,1176,626,499,154
615,misinterpret,35,109,135,160,169,38
616,explain,2067,6614,13345,17810,19205,5408
617,den,410,1640,2753,1128,999,384
618,submissive,93,265,194,140,136,29
619,legend,185,1430,1987,1709,1840,650
620,arbitrary,408,989,876,826,725,97
621,shiver,327,1096,1636,1680,1882,695
622,tit,34,81,136,294,538,104
623,thrash,27,167,316,357,539,165
624,alien,149,460,1265,2359,2958,928
625,fault,1754,4425,5206,3868,3772,1166
626,metallic,156,453,497,682,605,218
627,graphic,96,312,391,367,924,568
628,ink,200,656,1014,1209,1238,554
629,wintry,176,498,361,183,189,55
630,alcove,33,142,304,314,308,101
631,manor,63,467,392,636,405,287
632,sad,1697,7037,5329,3851,4394,1393
633,tickle,95,281,570,584,632,275
634,way,15465,59924,95214,103036,112532,34924
635,prepare,3727,9062,8969,9613,9670,2747
636,builder,154,641,958,1370,1291,329
637,necessity,2898,8141,6437,5147,2320,371
638,alienation,64,188,130,88,376,45
639,chasm,177,447,493,310,281,73
640,hen,201,744,1809,2062,1099,176
641,spread,2339,6665,7290,9327,9365,2999
642,swimmer,77,160,246,407,418,153
643,commoner,36,108,122,221,220,49
644,balmy,147,388,248,155,156,50
645,later,715,5434,20827,31626,36214,11016
646,fatality,73,169,162,266,222,94
647,indict,47,189,327,716,794,137
648,liberty,4122,9156,6641,4762,3044,644
649,annual,727,2204,2550,4913,5368,1503
650,mode,2643,5395,2170,1242,1852,589
651,exert,1015,2091,1507,1290,953,204
652,preclude,219,358,295,381,432,71
653,lapse,299,973,1112,871,908,204
654,loop,67,701,611,1347,1732,731
655,legitimate,446,1536,1446,1459,1682,350
656,buccaneer,119,170,303,189,102,52
657,wholesome,339,980,1352,570,286,81
658,outset,199,738,845,652,527,83
659,occupation,980,2625,3103,3113,1868,363
660,compile,103,189,286,460,738,270
661,magnificence,327,657,365,281,124,31
662,arrival,1358,3634,3905,3134,2717,782
663,applaud,222,513,675,1153,1250,239
664,sincerity,550,1127,1250,848,549,92
665,genus,86,457,288,323,243,49
666,delineate,154,264,93,69,174,57
667,repulse,173,718,395,227,198,52
668,flatter,637,1346,1119,812,703,163
669,deserter,76,246,281,221,203,45
670,envelope,83,529,1746,2078,2206,744
671,depreciation,153,386,209,764,261,40
672,mill,590,3256,4365,5817,3108,837
673,conviction,1242,3931,4269,3819,2909,483
674,disqualify,75,129,116,194,215,55
675,luxurious,182,853,722,592,497,183
676,haven,249,1008,1207,1967,1685,350
677,monarchy,344,1168,765,788,587,98
678,learn,5226,16447,21520,22026,24746,8209
679,murky,50,166,135,227,439,164
680,overboard,169,488,683,584,397,126
681,institute,428,1464,1502,3235,5049,1648
682,facilitate,242,559,511,735,768,315
683,dancer,115,400,727,1707,2227,602
684,assurance,794,1930,2205,2471,1495,209
685,promising,129,497,730,890,1134,384
686,frog,99,676,1020,1048,1028,473
687,murmur,1094,4057,4999,4108,3205,889
688,corn,872,3169,4130,5373,3513,1054
689,philosopher,1137,2761,1873,1721,1363,238
690,puppet,44,126,274,561,865,190
691,permit,3237,6541,8034,11051,7141,1056
692,inflate,31,128,97,231,409,121
693,bowel,93,451,252,329,644,166
694,transform,197,863,1446,1364,2689,1069
695,churn,58,175,228,458,720,321
696,perpetual,752,1848,1153,786,656,174
697,pose,89,302,1159,2088,3457,1016
698,operation,2912,7003,6656,13021,11698,2237
699,lobster,85,346,238,536,791,237
700,chastity,48,136,168,167,161,59
